book_id,title,subtitle,authors,publisher,description,page_count,categories,language,isbn_13,isbn_10,list_price,buyable,year,popularity_score,pages_group,num_authors
yIVuDwAAQBAJ,Bestseller,A Century of America's Favorite Books,Robert McParland,Bloomsbury Publishing PLC,"Whether curled up on a sofa with a good mystery, lounging by the pool with a steamy romance, or brooding over a classic novel, Americans love to read. Despite the distractions of modern living, nothing quite satisfies many individuals more than a really good book. And regardless of how one accesses that book—through a tablet, a smart phone, or a good, old-fashioned hardcover—those choices have been tallied for decades. In Bestseller: A Century of America’s Favorite Books, Robert McParland looks at the reading tastes of a nation—from the beginning of the twentieth century to the present day. Through extensive research, McParland provides context for the literature that appealed to the masses, from low-brow potboilers like Forever Amber to Pulitzer-Prize winners such as To Kill a Mockingbird. Decade by decade, McParland discusses the books that resonated with the American public and shows how current events and popular culture shaped the reading habits of millions. Profiles of authors with frequent appearances—from Ernest Hemingway to Danielle Steel—are included, along with standout titles that readers return to year after year. A snapshot of America and its love of reading through the decades, this volume informs and entertains while also providing a handy reference of the country’s most popular books. For those wanting to learn more about the history of American culture through its reading habits, Bestseller: A Century of America’s Favorite Books is a must-read.",335.0,Literary Criticism,English,9781538110003.0,1538110008,40.5,True,2018.0,0.0,Long ( >300 pages ),1
m4yBEAAAQBAJ,Hype,Bestsellers and Literary Culture,"Jon Helgason, Sara Kärrholm, Ann Steiner",Nordic Academic Press,"In the world of books and literature, “hype” is associated with bestsellerism - the books that sell the most, are read by vast numbers, and constantly talked about in media and staff rooms. Often, it is the success in itself that generates an interest because popularity begets popularity. Quite often though, a hyped bestseller is met with a skeptic criticism of poor language, a badly constructed plot, a predictable story line, or all three. The bestseller phenomenon is sometimes conceived as a threat against “real” literature. Research into the creation, reception, and meaning of bestsellers is utterly scarce and Hype: Bestsellers and Literary Culture is an important contribution to the understanding of the literature read by the masses. Popular literature plays an important role in the lives of millions of readers, offering entertainment, social commentary, and alternate perspectives on everyday life. This volume brings together such diverse issues as the creation of hype, the role and the meaning of the author in the present-day media landscape, changes in the book trade, and the relationship between bestsellers and research into them. Further articles give an historical overview on postapocalyptic stories, desert romances and the role of the authors. This book offers new knowledge on a subject that is increasingly popular within university curricula. Although the anthology is a work of academic research the texts are of equal interest to general readers.",254.0,Literary Criticism,English,9789187675324.0,9187675323,31.99,True,2015.0,0.0,Medium (100-300 pages),3
zbTOEAAAQBAJ,A Richard Wright Bibliography,"Fifty Years of Criticism and Commentary, 1933-1982","Kenneth Kinnamon, Joseph Benson, Michel Fabre, Craig Werner",Bloomsbury Publishing USA,"Any future biographical work on Richard Wright will find this bibliography a necessity; academic or public libraries supporting a program of black culture will find it invaluable; and it belongs in any library supporting American literature studies. Richard Wright has truly been well served. Choice The most comprehensive bibliography ever compiled for an American writer, this book contains 13,117 annotated items pertaining to Richard Wright. It includes almost all published mentions of the author or his work in every language in which those mentions appear. Sources listed include books, articles, reviews, notes, news items, publishers' catalogs, promotional materials, book jackets, dissertations and theses, encyclopedias, biographical dictionaries, handbooks and study guides, library reports, best seller charts, the Index Translationum, playbills and advertisements, editorials, radio transcripts, and published letters and interviews. The bibliography is arranged chronologically by year. Each entry includes bibliographical information, an annotation by the authors, and information about all reprintings, partial or full. The index is unusually complete and contains the titles of Wright's works, real and fictional characters in the works, entries relating to significant places and events in the author's life, important literary terminology, and much additional information.",1000.0,Social Science,English,9780313064418.0,0313064415,74.7,True,1988.0,0.0,Long ( >300 pages ),4
RyGzDwAAQBAJ,The Myth of Superwoman,Women's Bestsellers in France and the United States,Resa L. Dudovitz,Routledge,"Reviled by critics but loved by the readers, the bestseller has until recently provoked little serious critical interest. In The Myth of Superwoman, originally published in 1990, Resa Dudovitz looks at this international phenomenon, particularly at the origins of the bestseller system in the United States and France. Her cross-cultural study, including interviews with publishers, literary agents, and bestselling authors, gives a lively picture of the contrasting ways in which the bestseller is produced, marketed, and received in two countries. It pays special attention to the ‘international bestsellers’ of the 1980s, to writers like Judith Krantz, Colleen McCullough, and Barbara Taylor Bradford, all of whose novels are published in the United States, Britain, France, Germany, and Italy. The book presents a general analysis of women’s bestsellers, ranging over a wide variety of novels, from popular nineteenth-century texts in France and the United States to the novels of today. Dudovitz shows how women’s bestselling fiction has, over the last two hundred years, kept pace with the social evolution of contemporary women, culminating in the myth of superwoman in women’s bestsellers of the 1980s. This fascinating account of an important aspect of popular culture will be of great value to students of women’s studies and cultural studies, especially those interested in the myths which structure women’s bestselling fiction.",246.0,Literary Criticism,English,9781000652383.0,1000652386,46.99,True,2019.0,0.0,Medium (100-300 pages),1
cqyRDwAAQBAJ,Sisters by Choice,A Novel,Susan Mallery,MIRA,"From the New York Times bestselling author of California Girls comes an all new original Blackberry Island novel told with Susan Mallery’s trademark humor and charm. Sisters by Choice is a heartfelt tale of love, family and the friendships that see us through. Cousins by chance, sisters by choice… After her cat toy empire goes up in flames, Sophie Lane returns to Blackberry Island, determined to rebuild. Until small-town life reveals a big problem: she can’t grow unless she learns to let go. If Sophie relaxes her grip even a little, she might lose everything. Or she might finally be free to reach for the happiness and love that have eluded her for so long. Kristine has become defined by her relationship to others. She’s a wife, a mom. As much as she adores her husband and sons, she wants something for herself—a sweet little bakery just off the waterfront. She knew changing the rules wouldn’t be easy, but she never imagined she might have to choose between her marriage and her dreams. Like the mainland on the horizon, Heather’s goals seem beyond her grasp. Every time she manages to save for college, her mother has another crisis. Can she break free, or will she be trapped in this tiny life forever? Want more of Heather's story? Don't miss The Happiness Plan, a new novel coming from #1 New York Times bestselling author Susan Mallery where three women experience hope, heartache, and the power of friendship as they search for true happiness!",461.0,Fiction,English,9781488055386.0,1488055386,14.99,True,2020.0,0.0,Long ( >300 pages ),1
beVDBQAAQBAJ,Charged,The Grounded Trilogy Book Two,G. P. Ching,Carpe Luna Publishing,nan,272.0,Fiction,English,9781940675138.0,1940675138,4.99,True,2014.0,0.0,Medium (100-300 pages),1
lyHSAgAAQBAJ,Driving Mr. Wrong Home,nan,Shirley Jump,Entangled: Indulgence,"Can a feisty four-legged matchmaker help four best friends find the romance of their dreams? When a handsome man from Gabby's past agrees to a cross-country road trip, her master plan to re-launch her art career quickly morphs into an unexpected, romantic reunion.",60.0,Fiction,English,9781622665037.0,1622665031,1.99,True,2014.0,0.0,Short ( <100 pages ),1
eWn6AAAAQBAJ,Familiar Faces,Stories of People You Know,Mary Roberts Rinehart,Open Road Media,"The #1 New York Times–bestselling author of The Circular Staircase explores domestic anguish and delight in this short story collection. On a transatlantic voyage, a man fills with rage as his wife fusses over her makeup, filling their cramped cabin with powders, oils, and discarded clothes. It would be fine if he could open the porthole, but the porter has ordered it shut—lest a German submarine spot the light. Back in America, an old man with failing health stares out his window and worries about the world. And the wife of a serial philanderer realizes, to her surprise, that she has finally grown tired of her husband’s humiliating displays. These are the people of Mary Roberts Rinehart’s short fiction. Young and old, beautiful and ugly, joyous and downtrodden—they are ordinary people, consumed with the pains and privations of everyday life. Created with Rinehart’s impeccably light touch, they are more than characters on a page—they are a mirror in which we may recognize ourselves.",326.0,Fiction,English,9781480446243.0,1480446246,9.99,True,2013.0,0.0,Long ( >300 pages ),1
VjamCgAAQBAJ,Cocoa Beans,A Novel,Michael J. Hughes,Xlibris Corporation,"For the last ten years, Dave Purenut has lived at Milton Hershey School, an all-boys school for orphans in Chocolate Town, USA, doing just what hes supposed to. Not any more. Told to set the example as the only senior in his student home, Dave refuses and soon discovers that getting into trouble has its advantages. Like the freedom to do what you choose rather than whats expected. And since the year is 1970, with revolution, sexual freedom, and drugs seemingly everywhere, and with Vietnam looming on his horizon, Dave has a lot of choices to make. From the Elizabethtown (PA) Chronicle, 2/8/01 ""In COCOA BEANS, first-time novelist Michael J. Hughes finds success by reverting to a tried and true formula, writing about things familiar and intimate...Using this framework, Hughes creates a coming-of-age tale reminiscent of Salingers ""Catcher in the Rye"" and Twains ""The Adventures of Huckleberry Finn.""...COCOA BEANS succeeds where many other novels fail--it keeps you turning the pages. Hughes uses a universal experience full of conflict, the maturation process, to draw you in, then uses his own unique experiences to keep you interested. The characters are vibrant and likeable...Hughes turns in an excellant first effort, writing a book thats gripping, powerful and, ultimately, entertaining."" From the Harrisburg(PA) Sunday Patriot News, 4/8/01 ""COCOA BEANS by Michael J. Hughes is an entertaining coming-of-age novel about the trials and tribulations of a boarding-school student with the unlikely name of Dave Purenut...."" From Central PA Magazine, May, 2001 ""Drawing from his own life at Milton Hershey School, author Michael J. Hughes tells an emotional and sometimes humorous story... COCOA BEANS will spark memories for those who experienced the school first-hand, and it will also ignite interest in those who havent."" From the Hummelstown(PA) Sun, 5/9/01 ""Cocoa Beans is a hilarious, nostalgic novel... From visits to the principals office to hooking out at night, Hughes captures the days of strawberry wine and sit-ins flawlessly. Society in general, the village of Hershey circa early 1970s and his characters are portrayed in a real, nostalgic and funny manner. Hughes does an excellent job of taking the reader back to the days when adults disciplined children--often times with little patience--in ways that by todays standards might be labeled abusive. Cocoa Beans is a funny book and captures the times well."" From Amazon.com Reviews *****THREE Es FOR COCOA BEANS: ENTERTAINING, ENJOYABLE, AND EASY TO READ: ""Im an avid reader and thoroughly enjoyed reading cocoa beans. Its a coming of age book filled with humor, tenderness and even some tears. Id recommend it for readers of all ages!"" Mary Helfer, Fairport, NY From Amazon.com Reviews *****A VERY ENTERTAINING STORY: ""...a great story for anyone who enjoys fiction. While reading it I found myself making comparisons to another great story about a young mans coming of age in The Catcher in the Rye...The author tells this story using what I think are a great combination of qualities in a work of ficiton--a great sense of humor, given to some genuinely unique and interesting characters, and uses his good storytelling ability...I enjoyed it tremendously and think you will too."" Gary, from Chicago. From Amazon.com Reviews *****THIS IS WHAT MADE THE 60s AND 70s FUN!:""I completely enjoyed this book. It falls in line with the Summer of 42, but for the boomer generation coming of age in the 60s and 70s..."" Slowflarunner, from Florida From Amazon.com Reviews *****GREAT BOOK: ""This book kept my interest on every page. Purenuts life is very intriguing, and it seems to reflect the life of a Milton Hershey student, at the time, accurately. Cant wait for From Kirkusreviews.com *****""Hughes is to be commended, and his book recommended, for balancing its realism with its positive message."" For the entire review visit this link: https://www.kirkusreviews.com/search/?q=firefightin%27+sam&t=all",426.0,Fiction,English,9781514400203.0,1514400200,3.99,True,2000.0,0.0,Long ( >300 pages ),1
rV-AAAAAQBAJ,Fictional Feminism,How American Bestsellers Affect the Movement for Women's Equality,Kim A. Loudermilk,Routledge,"This book focuses on the ways in which second-wave feminism has been represented in American popular culture, and on the effects that these representations have had on feminism as a political movement. Kim Loudermilk provides close readings of four best-selling novels and their film adaptations. According to Loudermilk, each of these novels contains explicitly feminist characters and themes, yet each presents a curiously ambivalent picture of feminism; these texts at once take feminism seriously and subtly undercut its most central tenets. This book argues that these texts create a kind of ""fictional feminism"" that recuperates feminism's radical potential, thereby lessening the threat it presents to the status quo.",272.0,Literary Criticism,English,9781135884390.0,1135884390,68.99,True,2013.0,0.0,Medium (100-300 pages),1
